revision	user	timestamp
74799	ReactomeTeam	20140430085331
75152	Anwesha	20140508141001
75801	ReactomeTeam	20140610113357
76090	ReactomeTeam	20140611101525
76767	ReactomeTeam	20140716121304
77062	ReactomeTeam	20140717083617
81604	ReactomeTeam	20150821130849
83403	ReactomeTeam	20151118110816
86754	ReactomeTeam	20160711092537
87120	Egonw	20160718183840
93639	ReactomeTeam	20170809112936
94020	ReactomeTeam	20170816135202
99732	ReactomeTeam	20181031151233
100182	ReactomeTeam	20181031164602
100632	ReactomeTeam	20181031200120
101103	ReactomeTeam	20181031212708
101567	ReactomeTeam	20181101114346
