revision	user	timestamp
74814	ReactomeTeam	20140430085447
75167	Anwesha	20140508141138
75817	ReactomeTeam	20140610113647
76105	ReactomeTeam	20140611101704
76782	ReactomeTeam	20140716121447
77077	ReactomeTeam	20140717083738
81618	ReactomeTeam	20150821130945
83417	ReactomeTeam	20151118111049
86680	ReactomeTeam	20160711092405
88415	Fehrhart	20160805115200
93576	ReactomeTeam	20170809112751
93975	ReactomeTeam	20170816134908
99218	ReactomeTeam	20181031124404
99604	ReactomeTeam	20181031145931
100052	ReactomeTeam	20181031162551
100506	ReactomeTeam	20181031194227
100969	ReactomeTeam	20181031210823
101431	ReactomeTeam	20181101113048
