revision	user	timestamp
74676	ReactomeTeam	20140430084445
75032	Anwesha	20140508135436
75677	ReactomeTeam	20140610110018
75974	ReactomeTeam	20140611100315
76644	ReactomeTeam	20140716120144
76939	ReactomeTeam	20140717082107
81466	ReactomeTeam	20150821130005
83126	ReactomeTeam	20151118100246
86585	ReactomeTeam	20160711092137
87182	Egonw	20160718195712
93489	ReactomeTeam	20170809112500
93913	ReactomeTeam	20170816134432
99001	DeSl	20181022151705
100001	ReactomeTeam	20181031161945
100454	ReactomeTeam	20181031193611
100913	ReactomeTeam	20181031210136
101375	ReactomeTeam	20181101112618
